Max_1s,Index,Binary,Total 1s,Total 0s,Total Elements,Generation
15,76,01100011111101111111,972,988,1960,0
15,66,10101101111111011110,1717,1763,3480,1
15,25,01100011111101111111,2087,2233,4320,2
15,56,10101101111111011110,1708,1792,3500,3
15,96,10011111111101101011,992,1008,2000,4
15,54,10011111111101101011,643,637,1280,5
15,84,10011111111101101011,1069,1011,2080,6
15,0,10011111111101101011,1361,1339,2700,7
15,7,10011111111101101011,1619,1681,3300,8
15,50,10011111111101101011,1748,1932,3680,9
15,75,10011111111101101011,1286,1354,2640,10
15,61,10011111111101101011,878,822,1700,11
15,56,10011111111101101011,1026,934,1960,12
15,71,10011111111101100111,1453,1387,2840,13
15,132,10011111111101100111,1893,1667,3560,14
15,28,10011111111101100111,1911,1569,3480,15
15,3,01100111011101111111,1122,978,2100,16
15,37,10011111111101101011,938,882,1820,17
15,59,10011111111101101011,1380,1340,2720,18
14,177,10110111101011110110,1770,1830,3600,19
14,54,10110111101011110110,1585,1595,3180,20
13,74,00110111011101111010,1342,1358,2700,21
12,42,00110111011101110010,1207,1333,2540,22
13,109,10111111001100110110,1181,1359,2540,23
13,7,10111111001100110110,1091,1389,2480,24
12,38,00100111011101110110,889,1351,2240,25
12,29,01100111011101101010,1173,1707,2880,26
13,100,01100111011101110110,1435,1905,3340,27
13,0,01100111011101110110,1451,1769,3220,28
12,24,01100111011101101010,1136,1524,2660,29
11,37,00100111011101110010,935,1445,2380,30
12,37,10100111011101110010,987,1513,2500,31
12,48,10100111011101110010,1185,1775,2960,32
13,89,11100111011101110010,1391,1849,3240,33
13,139,11100111011101110010,1395,1745,3140,34
12,26,10100111011101110010,1047,1553,2600,35
12,38,10100111011101110010,1100,1780,2880,36
12,43,00111111001100111100,1247,1993,3240,37
12,66,00111111001100111100,1248,1952,3200,38
12,69,00111111001100111100,1060,1480,2540,39
12,76,00111111001100111100,1099,1381,2480,40
12,96,00111111001100111100,1289,1531,2820,41
12,0,00111111001100111100,1272,1608,2880,42
12,27,00111111001100111100,1115,1785,2900,43
10,10,00010111101110011000,861,1739,2600,44
11,23,10110111001100111000,813,1767,2580,45
11,39,10110111001100111000,948,2032,2980,46
12,69,10110111001100111100,1143,2097,3240,47
12,107,10110111001100111100,1121,1839,2960,48
12,8,10110111001100111100,986,1834,2820,49
10,27,01101110011001001001,667,1513,2180,50
10,17,00111111101000011000,755,1545,2300,51
10,55,01100010011000101111,960,1940,2900,52
10,55,00111111101000011000,1174,2206,3380,53
10,45,01100010110100001111,1102,1938,3040,54
11,112,00111111101001011000,989,1751,2740,55
11,8,00111111101001011000,716,1464,2180,56
11,52,11100010011010101110,804,1796,2600,57
11,41,01100110110010101110,943,1897,2840,58
11,60,01100110110010101110,1018,1742,2760,59
11,0,11101011011000001110,952,1688,2640,60
12,92,11100110110010101110,1000,1800,2800,61
12,110,11100110110010101110,849,1591,2440,62
12,10,11100110110010101110,919,1761,2680,63
12,10,01100110110011101110,897,2043,2940,64
12,46,11100110100110101110,926,2194,3120,65
13,62,11110110110010101110,856,1884,2740,66
12,47,01110111110000101110,803,1617,2420,67
13,64,11100111100010101111,743,1757,2500,68
11,18,01110110110000101110,881,2159,3040,69
11,36,01110110110000101110,920,2200,3120,70
11,40,01110110110000101110,932,2208,3140,71
11,52,01110110110000101110,800,1880,2680,72
11,59,01110110110000101110,845,2055,2900,73
12,61,01110110110000111110,834,1826,2660,74
12,76,01110110110000111110,900,1780,2680,75
13,112,01110110110001111110,1016,1824,2840,76
13,10,01110110110001111110,883,1777,2660,77
9,20,01100110010000101110,672,1568,2240,78
10,74,01111100100100011010,726,1674,2400,79
10,110,01111100100100011010,903,2017,2920,80
9,3,01111000110100011000,992,2188,3180,81
10,117,01111100010100011010,967,2073,3040,82
10,11,01111100010100011010,926,1914,2840,83
9,14,01100000011000111110,779,1581,2360,84
10,114,01110001100100111100,742,1578,2320,85
10,32,00110100001100111011,658,1482,2140,86
11,36,10110100001100111011,826,1814,2640,87
12,59,11110100001100111011,939,1981,2920,88
12,110,10110100001100111111,1138,2302,3440,89
12,8,10110100001100111111,1070,2090,3160,90
10,47,00110100001100111011,788,1712,2500,91
11,27,00110110001110011011,578,1302,1880,92
11,18,00110110001110011011,801,1639,2440,93
12,50,01110110001110011011,1174,2306,3480,94
12,109,01110110001110011011,1366,2374,3740,95
12,5,01110110001110011011,1232,2028,3260,96
11,22,00110100011100111011,818,1482,2300,97
10,15,00110100001100111011,667,1353,2020,98
11,8,00110100001100111111,936,1864,2800,99
