Max_1s,Index,Binary,Total 1s,Total 0s,Total Elements,Generation
16,110,01110011111101111111,1300,1320,2620,1
16,23,01110011111101111111,2140,2220,4360,2
16,9,01110011111101111111,2827,2933,5760,3
16,247,01110011111101111111,3437,3503,6940,4
16,195,01110011111101111111,3937,4003,7940,5
16,146,01110011111101111111,4398,4522,8920,6
16,36,01110011111101111111,4144,4376,8520,7
15,336,10111101101111011110,3515,3725,7240,8
15,249,10111101101111011110,3236,3424,6660,9
15,148,10111101101111011110,2989,3131,6120,10
15,42,10111101101111011110,2484,2636,5120,11
14,134,00110111011101111011,2250,2390,4640,12
14,73,00110111011101111011,2438,2582,5020,13
14,20,00110111011101111011,2616,2704,5320,14
14,4,00110111011101111011,2870,2970,5840,15
14,77,11011110110111011001,3177,3363,6540,16
14,23,11011110110111011001,3434,3626,7060,17
14,0,11011110110111011001,3532,3708,7240,18
14,2,11010010111001111111,3265,3375,6640,19
14,0,11010010111001111111,3062,3178,6240,20
14,0,00110111011101111011,2922,3198,6120,21
14,0,00110111011101111011,2709,3131,5840,22
14,63,11010010111001111111,2509,2951,5460,23
14,14,11010010111001111111,2509,2931,5440,24
14,1,11010010111001111111,2650,3110,5760,25
14,2,00110111011101111011,2713,3187,5900,26
15,282,00111111011101111011,2794,3306,6100,27
15,216,00111111011101111011,2844,3296,6140,28
15,145,00111111011101111011,2860,3340,6200,29
15,71,00111111011101111011,2888,3372,6260,30
14,38,00110111011101111011,2773,3307,6080,31
14,87,11010010111001111111,2675,3225,5900,32
14,81,11010010111001111111,2645,3235,5880,33
14,61,00110111011101111011,2553,3107,5660,34
13,76,01111111110111000001,2450,3030,5480,35
13,31,01111111110111000001,2575,3225,5800,36
13,284,01111111110111000001,2789,3531,6320,37
13,230,01111111110111000001,3005,3755,6760,38
13,148,01111111110111000001,3119,3921,7040,39
13,76,01111111110111000001,2863,3517,6380,40
12,44,01110001100111100111,2535,3165,5700,41
12,6,01110001100111100111,2418,3122,5540,42
12,6,11111101000110011001,2421,3119,5540,43
12,6,00110111000101111011,2430,3190,5620,44
12,74,01110001100111100111,2480,3320,5800,45
12,11,01110001100111100111,2716,3704,6420,46
12,1,01110001100111100111,2764,3776,6540,47
13,275,11010101100111100111,2893,3827,6720,48
13,199,11010101100111100111,2788,3732,6520,49
13,137,11010101100111100111,2695,3585,6280,50
13,52,11010101100111100111,2638,3642,6280,51
12,8,11111101000110011001,2389,3391,5780,52
12,3,11111101000110011001,2359,3261,5620,53
12,158,01110101001110111100,2532,3528,6060,54
12,90,01110101001110111100,2684,3776,6460,55
12,23,01110101001110111100,2619,3761,6380,56
12,5,11111101000110011001,2561,3739,6300,57
12,222,01110101001110111100,2599,3761,6360,58
12,138,01110101001110111100,2585,3775,6360,59
12,73,01110101001110111100,2654,3886,6540,60
12,36,11111101000110011001,2644,3896,6540,61
12,16,11111110100001101100,2596,3944,6540,62
13,292,11111111100001101100,2568,3892,6460,63
13,213,11111111100001101100,2517,3803,6320,64
13,136,11111111100001101100,2517,3863,6380,65
13,48,11111111100001101100,2333,3647,5980,66
12,8,01111101000110011011,2193,3547,5740,67
13,235,01111101000111011011,2409,3851,6260,68
13,158,01111101000111011011,2374,3826,6200,69
13,93,01111101000111011011,2412,3848,6260,70
13,28,01111101000111011011,2538,4002,6540,71
13,2,01111101000111011011,2536,4004,6540,72
13,253,01111101000111011011,2599,4061,6660,73
13,185,01111101000111011011,2667,4153,6820,74
13,102,01111101000111011011,2699,4261,6960,75
13,42,01111101000111011011,2735,4345,7080,76
13,2,01111101000111011011,2628,4232,6860,77
13,0,01111101000111011011,2570,4130,6700,78
13,248,01111101000111011011,2522,4018,6540,79
13,174,01111101000111011011,2497,4043,6540,80
13,105,01111101000111011011,2504,4096,6600,81
13,26,01111101000111011011,2512,4108,6620,82
11,2,11101101000010011011,2423,4037,6460,83
11,37,10010101101111010001,2558,4302,6860,84
11,5,10010101101111010001,2693,4547,7240,85
11,105,11101101000010011011,2759,4661,7420,86
11,31,11101101000010011011,2739,4561,7300,87
11,125,10010101101111010001,2544,4196,6740,88
11,37,10010101101111010001,2513,4207,6720,89
10,90,11010011100010011001,2475,4205,6680,90
10,24,11010011100010011001,2409,4171,6580,91
10,34,11011011000011011000,2396,4184,6580,92
10,0,11011011000011011000,2503,4297,6800,93
11,265,11011011000111011000,2477,4263,6740,94
11,188,11011011000111011000,2496,4304,6800,95
11,138,11011011000111011000,2619,4541,7160,96
11,37,11011011000111011000,2673,4707,7380,97
11,260,11010011110010011001,2499,4501,7000,98
11,189,11010011110010011001,2572,4648,7220,99
11,106,11010011110010011001,2632,4768,7400,100
