Max_1s,Index,Binary,Total 1s,Total 0s,Total Elements,Generation
15,70,01100011111101111111,939,941,1880,0
15,124,01100011111101111111,1738,1702,3440,1
15,19,01100011111101111111,1991,1769,3760,2
15,35,11011110111111011001,1653,1327,2980,3
14,20,00110111011101111011,1097,783,1880,4
15,17,01110111011101111011,1325,835,2160,5
16,36,11110111011101111011,2077,1243,3320,6
16,95,10110111111101111101,2864,1636,4500,7
16,16,11110111011101111011,2737,1483,4220,8
16,49,01111111011101111011,1517,763,2280,9
16,20,01111111011101111011,893,427,1320,10
16,16,01111111011101111011,1383,657,2040,11
16,30,01111111011101111011,2473,1167,3640,12
17,135,01111111011101111111,3600,1640,5240,13
17,35,01111111011101111111,3351,1469,4820,14
16,8,10110111011101111111,2168,932,3100,15
16,5,01111111011101111011,1263,477,1740,16
16,0,01111011111101111011,1222,458,1680,17
17,0,01111111111101111011,2257,863,3120,18
17,51,01111111111101111011,3552,1348,4900,19
17,30,11111111011101111011,4128,1512,5640,20
17,56,01111111111101111011,3591,1269,4860,21
17,22,01111111111101111011,2518,842,3360,22
17,8,01111111111101111011,1291,389,1680,23
17,4,01111111111101111011,1484,436,1920,24
18,54,01111111111101111111,2944,896,3840,25
18,187,11111011111101111111,4464,1316,5780,26
18,81,11111011111101111111,4357,1303,5660,27
18,138,01111111111101111111,3818,1102,4920,28
18,8,01111111111101111111,2236,564,2800,29
18,46,01111111111101111111,1745,415,2160,30
18,40,01111111111101111111,2429,531,2960,31
18,8,11111111111101111011,3728,832,4560,32
18,13,01111111111101111111,4891,1109,6000,33
18,20,11111111111101111011,5084,1176,6260,34
19,188,11111111111101111111,3543,777,4320,35
19,47,11111111111101111111,2069,411,2480,36
19,39,11111111111101111111,1862,358,2220,37
19,53,11111111111101111111,2922,578,3500,38
19,10,11111111111101111111,4279,921,5200,39
19,57,11111111111101111111,5411,1149,6560,40
20,246,11111111111111111111,5163,1017,6180,41
20,107,11111111111111111111,4039,761,4800,42
20,5,11111111111111111111,2418,422,2840,43
19,42,11111111111101111111,1150,210,1360,44
19,24,11111111111101111111,1293,227,1520,45
19,39,11111111111101111111,2507,453,2960,46
19,120,11111111111101111111,4226,774,5000,47
19,18,11111111111101111111,5139,1001,6140,48
19,0,01111111111111111111,5479,1041,6520,49
19,78,01111111111111111111,4399,801,5200,50
19,0,01111111111111111111,2556,424,2980,51
19,24,01111111111111111111,1529,271,1800,52
19,19,01111111111111111111,1976,384,2360,53
19,24,01111111111111111111,3497,703,4200,54
19,132,01111111111111111111,4980,980,5960,55
19,30,01111111111111111111,5311,1049,6360,56
19,0,01111111111111111111,4279,841,5120,57
19,32,01111111111111111111,2325,435,2760,58
19,25,01111111111111111111,1612,248,1860,59
19,7,01111111111111111111,2486,354,2840,60
19,53,01111111111111111111,4273,627,4900,61
20,225,11111111111111111111,5708,872,6580,62
20,119,11111111111111111111,6422,978,7400,63
20,13,11111111111111111111,4621,699,5320,64
20,24,11111111111111111111,1963,297,2260,65
18,0,01111111111101111111,669,111,780,66
18,0,01111111111101111111,1027,173,1200,67
19,32,01111111111111111111,2034,366,2400,68
19,83,01111111111111111111,3720,700,4420,69
19,221,01111111111111111111,5137,943,6080,70
19,148,01111111111111111111,6008,1112,7120,71
19,36,01111111111111111111,5422,1038,6460,72
19,54,01111111111111111111,2980,560,3540,73
18,1,11111111110101111111,1592,268,1860,74
19,63,11111111111101111111,1791,329,2120,75
19,97,01111111111111111111,3452,668,4120,76
19,28,11111111111101111111,5120,1020,6140,77
19,23,11111111111101111111,5606,1094,6700,78
19,58,01111111111111111111,5625,1095,6720,79
19,7,11111111111101111111,3414,646,4060,80
19,25,01111111111111111111,1815,325,2140,81
19,36,11111111111101111111,1785,355,2140,82
19,67,11111111111101111111,3233,667,3900,83
19,135,01111111111111111111,4815,965,5780,84
19,39,11111111111101111111,5247,1033,6280,85
19,9,11111111111101111111,4754,946,5700,86
19,61,11111111111101111111,3215,645,3860,87
19,100,11111111111101111111,2184,416,2600,88
19,0,11111111111101111111,2035,365,2400,89
19,20,11111111111101111111,3214,626,3840,90
19,43,01111111111111111111,4661,899,5560,91
19,8,01111111111111111111,5235,1025,6260,92
19,11,01111111111111111111,4661,879,5540,93
19,34,01111111111111111111,3089,531,3620,94
19,65,11111111111101111111,1552,268,1820,95
19,32,01111111111111111111,1649,311,1960,96
19,65,01111111111111111111,3277,643,3920,97
19,8,11111111111101111111,4901,959,5860,98
19,113,01111111111111111111,5449,1051,6500,99
