Generation,Average Energy Gain,Max Energy Gain,Min Energy Gain
0,4.980000,14,6
1,9.000000,16,4
2,7.610000,15,5
3,4.350000,15,6
4,2.270000,14,5
5,3.500000,15,8
6,8.375000,16,6
7,6.670000,15,4
8,7.480000,16,6
9,7.150000,15,2
10,3.530000,14,1
11,3.120000,15,7
12,5.988235,15,6
13,7.346939,14,4
14,7.860000,16,4
15,5.370000,15,4
16,2.580000,15,1
17,4.700000,15,7
18,7.846154,15,6
19,7.730000,16,6
20,5.440000,15,3
21,4.850000,15,4
22,4.660000,14,3
23,5.430000,15,6
24,5.170000,15,5
25,4.940000,15,5
26,7.000000,15,4
27,6.830000,15,4
28,5.940000,15,6
29,4.300000,15,5
30,4.940000,14,5
31,6.020000,15,6
32,6.550000,14,5
33,6.500000,15,5
34,5.870000,15,5
35,4.770000,14,6
36,6.680000,16,5
37,6.490000,15,4
38,5.890000,16,5
39,4.570000,15,5
40,5.180000,14,5
41,6.030000,16,5
42,5.990000,16,5
43,5.840000,16,4
44,4.820000,16,5
45,6.140000,17,4
46,6.600000,15,5
47,6.370000,16,5
48,4.870000,16,5
49,5.190000,15,4
50,4.050000,15,5
51,5.460000,15,6
52,6.940000,15,5
53,6.890000,15,6
54,5.390000,15,6
55,5.120000,15,6
56,4.460000,16,7
57,6.220000,15,3
58,5.710000,15,6
59,5.410000,14,5
60,5.400000,16,6
61,5.680000,15,4
62,5.500000,14,6
63,5.790000,14,6
64,6.620000,16,6
65,6.260000,16,6
66,4.860000,16,6
67,5.150000,15,6
68,5.690000,15,4
69,6.930000,16,6
70,6.310000,16,6
71,6.030000,16,4
72,5.160000,18,6
73,5.790000,15,6
74,5.330000,15,5
75,5.530000,15,3
76,5.770000,14,5
77,5.310000,15,5
78,4.550000,16,3
79,5.800000,15,4
80,6.570000,15,4
81,6.710000,15,3
82,5.500000,15,6
83,5.350000,16,6
84,4.400000,13,6
85,4.980000,15,5
86,4.810000,15,4
87,6.630000,16,4
88,6.430000,16,5
89,7.350000,17,3
90,5.050000,15,4
91,4.070000,15,5
92,4.030000,15,6
93,6.851064,15,6
94,8.020000,16,5
95,6.950000,15,6
96,5.190000,15,7
97,3.790000,18,5
98,4.560000,16,6
99,7.250000,15,4
