Generation,Average Energy Gain,Max Energy Gain,Min Energy Gain
0,8.140000,15,7
1,10.180000,16,6
2,10.150000,16,3
3,10.350000,17,6
4,10.130000,16,5
5,10.170000,17,4
6,6.260000,15,4
7,5.080000,14,5
8,6.480000,14,5
9,6.440000,14,5
10,4.370000,15,6
11,6.070000,14,5
12,8.060000,14,5
13,7.690000,15,3
14,8.590000,17,5
15,9.370000,17,4
16,8.540000,14,3
17,6.690000,15,5
18,4.970000,15,6
19,7.020000,18,3
20,8.080000,17,6
21,6.930000,16,6
22,4.960000,14,5
23,7.510000,16,4
24,7.470000,16,6
25,7.800000,15,3
26,7.150000,15,6
27,7.240000,15,4
28,7.240000,15,6
29,6.840000,15,6
30,6.320000,16,4
31,6.160000,14,4
32,7.550000,17,6
33,6.810000,15,6
34,6.870000,15,6
35,8.960000,14,6
36,8.050000,14,4
37,8.810000,16,6
38,7.060000,16,6
39,5.080000,16,5
40,5.730000,16,6
41,6.610000,15,7
42,8.170000,15,5
43,6.240000,18,6
44,8.550000,16,6
45,8.790000,14,5
46,6.960000,15,4
47,7.880000,16,5
48,6.400000,16,6
49,6.990000,15,7
50,7.910000,16,8
51,6.170000,14,7
52,6.640000,14,6
53,8.820000,18,5
54,8.430000,17,5
55,7.200000,15,6
56,6.900000,15,6
57,7.760000,15,6
58,8.010000,17,7
59,8.520000,15,7
60,6.740000,14,6
61,7.390000,16,6
62,7.170000,15,7
63,7.660000,17,5
64,7.900000,16,5
65,5.900000,15,7
66,7.180000,15,7
67,8.790000,17,7
68,7.670000,16,8
69,7.690000,16,6
70,8.000000,16,6
71,7.820000,15,7
72,8.530000,16,7
73,8.620000,17,6
74,8.420000,17,6
75,8.140000,15,7
76,6.730000,14,7
77,7.430000,16,6
78,8.080000,15,7
79,8.140000,16,7
80,8.450000,16,7
81,7.600000,15,7
82,7.460000,17,5
83,9.100000,15,6
84,9.420000,16,4
85,8.540000,15,7
86,6.980000,16,6
87,7.730000,17,5
88,8.170000,16,8
89,8.640000,16,7
90,7.510000,17,7
91,8.140000,14,7
92,8.810000,17,6
93,7.830000,18,6
94,7.730000,15,5
95,9.600000,15,6
96,8.850000,17,6
97,7.570000,17,7
98,9.330000,17,8
99,8.320000,17,7
