Generation,Average Energy Gain,Max Energy Gain,Min Energy Gain
0,4.720000,15,6
1,8.978724,14,3
2,7.840000,14,3
3,3.570000,15,6
4,3.290000,15,8
5,6.137931,17,8
6,10.282609,16,6
7,9.520000,15,5
8,6.950000,16,6
9,2.880000,15,9
10,2.680000,15,7
11,5.789474,16,8
12,11.619565,17,8
13,11.010000,17,8
14,4.830000,14,7
15,3.960000,16,8
16,2.060000,17,8
17,5.282609,16,8
18,11.551282,16,8
19,11.770000,16,6
20,7.890000,16,7
21,5.240000,16,9
22,2.610000,17,9
23,2.150000,14,7
24,7.126760,16,8
25,11.797619,17,8
26,11.830000,17,7
27,6.370000,15,7
28,5.000000,17,8
29,3.110000,17,10
30,4.020000,16,8
31,8.969072,16,8
32,11.960000,17,7
33,9.810000,17,8
34,5.330000,17,7
35,3.970000,17,8
36,1.900000,17,9
37,4.648936,16,7
38,11.657143,17,8
39,12.090000,17,8
40,9.400000,16,8
41,6.410000,16,8
42,6.580000,17,8
43,2.130000,17,11
44,3.730000,16,9
45,8.315217,17,8
46,12.410000,17,9
47,10.820000,17,9
48,8.420000,18,8
49,4.890000,18,9
50,2.790000,14,9
51,3.820000,16,7
52,7.606383,17,7
53,12.350000,18,8
54,11.390000,17,10
55,6.930000,18,9
56,8.380000,19,8
57,0.810000,13,9
58,2.940000,16,9
59,7.942857,18,8
60,12.662790,17,9
61,12.960000,18,8
62,10.630000,20,8
63,7.240000,18,8
64,1.490000,17,10
65,2.110000,17,10
66,6.141026,17,9
67,12.000000,18,9
68,12.980000,17,9
69,9.730000,17,7
70,8.090000,17,8
71,3.220000,17,8
72,1.030000,17,8
73,2.482759,18,9
74,13.294118,17,10
75,12.602942,17,8
76,12.730000,18,8
77,9.900000,18,7
78,7.720000,17,7
79,5.990000,16,7
80,3.360000,16,10
81,2.140000,15,11
82,6.790698,17,8
83,12.380435,17,8
84,12.260000,18,7
85,8.000000,19,7
86,7.600000,18,7
87,3.670000,17,9
88,5.790000,18,11
89,7.210000,17,9
90,8.190000,17,9
91,9.780000,19,7
92,11.080000,17,9
93,6.850000,18,10
94,4.440000,18,9
95,3.890000,18,9
96,6.500000,18,9
97,10.750000,17,10
98,12.280000,18,8
99,9.620000,18,8
