ID,Genotype,Energy,Age,Parent,Iteration
0,10100110001000111111,1.973067,0,0,0
1,01111100001011100001,6.879752,0,0,0
2,00000111010000011101,3.284388,0,0,0
3,11011011000011011001,10.182971,0,0,0
4,01000111100001101100,14.020393,0,0,0
5,10100111001000110110,7.791245,0,0,0
6,01100001110100110001,0.518582,0,0,0
7,11011101001001001001,7.945503,0,0,0
8,01000101101011100000,0.115473,0,0,0
9,11110011011100011101,1.002634,0,0,0
10,11000100001110101011,10.301591,0,0,0
11,01011011001100000001,13.956548,0,0,0
12,10001100011100000100,7.903932,0,0,0
13,00010010111000111100,9.808784,0,0,0
14,01111011010000101100,10.517859,0,0,0
15,00100110110001111001,11.432971,0,0,0
16,00011010010110010011,0.711968,0,0,0
17,10001110100000110011,4.923513,0,0,0
18,10111000000010111011,11.346157,0,0,0
19,01011101100000101011,5.480080,0,0,0
20,00110111011101111011,14.738255,0,0,0
21,00000111001101001010,11.300338,0,0,0
22,00011111100100000010,1.090288,0,0,0
23,00100010011100101011,13.270607,0,0,0
24,10010110100011101110,6.546171,0,0,0
25,11111000100001001001,7.165977,0,0,0
26,00001111011101110100,4.123602,0,0,0
27,10100100101001001111,2.497608,0,0,0
28,00001101101000011100,13.464845,0,0,0
29,10101001011111101110,0.908465,0,0,0
30,01000010101000001110,7.567843,0,0,0
31,11101111100011000010,4.785494,0,0,0
32,01111011110010000001,7.409650,0,0,0
33,01000001111101010001,1.360993,0,0,0
34,00001000000101100101,1.106236,0,0,0
35,10011010100100111000,5.762132,0,0,0
36,10101101101111011110,13.707262,0,0,0
37,01000011110110000010,6.966687,0,0,0
38,00000000111011100111,0.751260,0,0,0
39,00111110010011110010,11.553068,0,0,0
40,10001110110100110000,1.880481,0,0,0
41,00010100101000010001,10.326830,0,0,0
42,00000110011100010100,9.443151,0,0,0
43,11010110110111011001,10.881180,0,0,0
44,11110000000001110011,13.328583,0,0,0
45,00110111101000000101,4.594828,0,0,0
46,00111101011111100011,7.699106,0,0,0
47,10110101000110001001,12.689723,0,0,0
48,01000100000111101001,12.622660,0,0,0
49,11011001001101111011,6.230919,0,0,0
50,01010111100000111111,7.018761,0,0,0
51,00000000001111000100,2.674916,0,0,0
52,00101000101111100100,8.574822,0,0,0
53,11010001000010111011,0.495806,0,0,0
54,10101001100011011100,7.477202,0,0,0
55,00010010110101010100,11.224390,0,0,0
56,00100010101110111100,13.361062,0,0,0
57,10101001010101110000,12.630594,0,0,0
58,01111101000110011001,3.191273,0,0,0
59,11001010111110111101,1.956409,0,0,0
60,10011100000001010010,4.118822,0,0,0
61,11111011100001000111,6.214399,0,0,0
62,11101111011010101110,10.647294,0,0,0
63,10100000110001001001,3.598662,0,0,0
64,10000111011110000101,4.763093,0,0,0
65,01100111110000010100,9.780880,0,0,0
66,11110000000000110111,10.220193,0,0,0
67,01110001100111101111,5.815880,0,0,0
68,00111101011011100001,2.212995,0,0,0
69,00000010111110101011,12.683635,0,0,0
70,01100101001110111100,14.331132,0,0,0
71,00110010000001010010,2.222273,0,0,0
72,11101111001110100001,6.131500,0,0,0
73,11000110101001110011,8.473480,0,0,0
74,11100110101111001100,7.327718,0,0,0
75,10011111101101101011,14.416427,0,0,0
76,01100101001111100110,2.996358,0,0,0
77,01100011111101111111,9.439037,0,0,0
78,11100010111010110000,9.768806,0,0,0
79,11100001011011100110,12.046095,0,0,0
80,11010111000011010011,7.146477,0,0,0
81,11110001000001110101,3.048755,0,0,0
82,01100110110000100111,13.525103,0,0,0
83,00111110111000110100,2.130316,0,0,0
84,11001010111000111111,6.154696,0,0,0
85,10010011011100010010,13.284725,0,0,0
86,00110010010110010011,2.432978,0,0,0
87,10100101111111011000,5.480085,0,0,0
88,10110100111001100011,2.026640,0,0,0
89,01101101100110101010,6.829609,0,0,0
90,11110011010101000100,6.784503,0,0,0
91,10010110010110111011,13.975116,0,0,0
92,10000110111110110001,3.228726,0,0,0
93,01010010100011001001,13.633828,0,0,0
94,10010001011110100000,12.912897,0,0,0
95,01110011001101010010,7.589338,0,0,0
96,10100101100000000001,12.263422,0,0,0
97,01100001101100101011,6.933675,0,0,0
98,01111111110001110010,9.491080,0,0,0
99,00001100010100011110,12.370461,0,0,0
2,00000111010000011101,12.027189,1,0,1
5,10100111001000110110,13.298066,1,0,1
7,11011101001001001001,14.596053,1,0,1
19,01011101100000101011,14.110524,1,0,1
24,10010110100011101110,13.037455,1,0,1
25,11111000100001001001,14.672089,1,0,1
26,00001111011101110100,9.543847,1,0,1
27,10100100101001001111,12.015982,1,0,1
35,10011010100100111000,11.280523,1,0,1
37,01000011110110000010,13.630174,1,0,1
45,00110111101000000101,12.977847,1,0,1
46,00111101011111100011,12.120590,1,0,1
49,11011001001101111011,12.627189,1,0,1
50,01010111100000111111,12.471476,1,0,1
58,01111101000110011001,12.743304,1,0,1
60,10011100000001010010,14.724732,1,0,1
61,11111011100001000111,9.943436,1,0,1
63,10100000110001001001,14.277205,1,0,1
64,10000111011110000101,11.024466,1,0,1
67,01110001100111101111,13.544235,1,0,1
72,11101111001110100001,12.778326,1,0,1
76,01100101001111100110,12.706742,1,0,1
77,01100011111101111111,11.783197,1,0,1
80,11010111000011010011,14.475929,1,0,1
81,11110001000001110101,10.631538,1,0,1
84,11001010111000111111,10.762559,1,0,1
87,10100101111111011000,11.962463,1,0,1
90,11110011010101000100,14.320129,1,0,1
92,10000110111110110001,11.693748,1,0,1
95,01110011001101010010,14.845430,1,0,1
101,01111100001011100001,8.256607,0,1,1
102,01111100001011100011,8.256607,0,1,1
103,11011011000011011001,7.860796,0,3,1
104,11011011000011011001,7.860796,0,3,1
105,01000111100001101100,10.641924,0,4,1
106,01000111100001101100,10.641924,0,4,1
107,11000100111110101011,9.296178,0,10,1
108,11000100001110101011,9.296178,0,10,1
109,01011011001100000001,12.317593,0,11,1
110,01011011001100000001,12.317593,0,11,1
111,00001100011100000100,8.594963,0,12,1
112,10001100011100000100,8.594963,0,12,1
113,00010010111000111100,9.136376,0,13,1
114,00010010111000111100,9.136376,0,13,1
115,01111011011000101100,8.588282,0,14,1
116,01111011010000101100,8.588282,0,14,1
117,00100110110001111001,9.450253,0,15,1
118,00100110110001111000,9.450253,0,15,1
119,10001110100000110011,7.654031,0,17,1
120,10001110100000110011,7.654031,0,17,1
121,10111000000010111011,9.956160,0,18,1
122,10111000000010111011,9.956160,0,18,1
123,00110111011101111011,11.702308,0,20,1
124,00110111011101111011,11.702308,0,20,1
125,00000111001101001010,9.921440,0,21,1
126,00000111001101001010,9.921440,0,21,1
127,00100010011100101011,10.966423,0,23,1
128,00100010011100101011,10.966423,0,23,1
129,00001101101000011100,11.496131,0,28,1
130,00001101101000011100,11.496131,0,28,1
131,01000010101000001110,8.546399,0,30,1
132,01000010101000001110,8.546399,0,30,1
133,11101111100011000010,8.623468,0,31,1
134,11101111100011000010,8.623468,0,31,1
135,01111011110010000001,8.576488,0,32,1
136,01111011110010000001,8.576488,0,32,1
137,10101101101111011110,9.490107,0,36,1
138,10101101101111011110,9.490107,0,36,1
139,00111110010011110010,7.901875,0,39,1
140,00111110010011110010,7.901875,0,39,1
141,00010100101000010001,9.409364,0,41,1
142,00110100101000010001,9.409364,0,41,1
143,10000110011100010100,9.429870,0,42,1
144,00000110011100010100,9.429870,0,42,1
145,11010110110111011001,8.293140,0,43,1
146,11010110110111011001,8.293140,0,43,1
147,11110000000001110011,11.413496,0,44,1
148,11110000000001110011,11.413496,0,44,1
149,10110101000110001001,9.164995,0,47,1
150,10110101000110001001,9.164995,0,47,1
151,01000100000111101001,10.545737,0,48,1
152,01000100000111101001,10.545737,0,48,1
153,00101000101111100110,9.031372,0,52,1
154,00101000101111100100,9.031372,0,52,1
155,10101001100011011100,9.535762,0,54,1
156,10101001100011011100,9.535762,0,54,1
157,00010010110101010100,10.390772,0,55,1
158,00010010110101010100,10.390772,0,55,1
159,00100010101110111100,9.927907,0,56,1
160,00100010101110111100,9.927907,0,56,1
161,10101001010101110000,10.551050,0,57,1
162,10101001010101110000,10.551050,0,57,1
163,11101111011010101110,9.162178,0,62,1
164,11101101011010101110,9.162178,0,62,1
165,01100111110000010100,8.611323,0,65,1
166,01100111110000010100,8.611323,0,65,1
167,11110000000000110111,8.339332,0,66,1
168,11110000000000110111,8.339332,0,66,1
169,00000010111110101011,10.527657,0,69,1
170,00000010111110101011,10.527657,0,69,1
171,01100101001010111100,11.312437,0,70,1
