Max,Average,Min
17.976768,8.100000,0.780405
17.290848,7.142857,0.580405
14.317427,6.946903,0.380405
14.117426,6.858407,0.180405
13.942394,6.796460,-0.019595
13.842394,6.732143,-0.193294
13.794790,6.800000,-0.030648
13.794790,6.743119,0.061865
13.794790,6.660550,-0.138135
13.794790,6.620370,0.017641
13.794790,6.481481,-0.172616
13.794790,6.566038,-0.008729
13.794790,6.504762,0.171315
13.794790,6.438095,0.071315
13.794790,6.371429,-0.028685
13.794790,6.336538,-0.062172
13.794790,6.320388,-0.055501
13.794790,6.316832,-0.137296
13.794790,6.469388,0.140273
13.794790,6.377551,0.040273
13.794790,6.255102,-0.059727
13.794790,6.268041,-0.195366
13.794790,6.263158,0.900391
13.794790,6.189474,0.600391
13.794790,6.126316,0.300391
13.794790,6.031579,0.000391
13.794790,5.978947,-0.299609
13.794790,6.000000,-0.051384
13.794790,6.000000,-0.028991
13.794790,6.000000,-0.193101
13.794790,5.933333,-0.075185
13.794790,5.977528,0.469985
13.794790,5.887640,0.269985
13.794790,5.797753,0.069985
13.794790,5.741573,-0.130015
13.794790,5.715909,-0.009370
13.794790,5.770115,0.606637
13.794790,5.655172,0.406637
13.794790,5.563218,0.206637
13.794790,5.494253,0.006637
13.794790,5.379310,-0.193363
13.794790,5.418605,0.101889
13.794790,5.325581,-0.098111
13.794790,5.548780,-0.136184
13.794790,5.580247,-0.043033
13.794790,5.575000,-0.161710
13.794790,5.907895,0.143145
13.794790,5.802632,-0.056855
13.794790,5.800000,0.713006
13.794790,5.733333,0.513006
13.794790,5.666667,0.413006
13.794790,5.626667,0.313006
13.794790,5.573333,0.213006
13.794790,5.493333,0.113006
13.794790,5.440000,-0.086994
13.794790,5.486486,0.200397
13.794790,5.472973,0.100397
13.794790,5.391892,0.000397
13.794790,5.297297,-0.099603
13.794790,5.402778,0.005437
13.794790,5.333333,-0.094563
13.794790,5.380282,1.076010
13.794790,5.323944,0.876009
13.794790,5.253521,0.676009
13.794790,5.211268,0.476009
13.794790,5.169014,0.276009
13.794790,5.154930,0.076009
13.794790,5.084507,-0.123991
13.794790,5.085714,0.433353
13.794790,5.014286,0.233353
13.794790,4.957143,0.033353
13.794790,4.914286,-0.166647
13.794790,4.971014,0.218938
13.794790,4.884058,0.117408
13.794790,4.840580,-0.082592
13.794790,4.897059,-0.081062
13.794790,4.970149,0.206637
13.794790,4.910448,0.106637
13.794790,4.835821,0.006637
13.794790,4.761194,-0.093363
13.794790,4.787879,-0.036118
13.794790,4.846154,0.127336
13.794790,4.815385,0.027336
13.794790,4.723077,-0.072664
13.794790,4.873016,-0.089999
13.794790,4.935484,0.168776
13.794790,4.935484,0.068776
13.794790,4.870968,-0.031224
13.794790,5.084746,-0.034988
13.794790,5.245614,-0.095510
13.794790,5.418182,-0.011614
13.794790,5.500000,0.096952
13.794790,5.444444,-0.003048
13.794790,5.509434,-0.086974
13.794790,5.615385,0.053550
13.794790,5.576923,-0.046450
13.794790,5.686275,0.290351
13.794790,5.666667,0.190351
13.794790,5.607843,0.090351
13.794790,5.588235,-0.009649
13.794790,5.680000,0.091136
13.794790,5.640000,-0.008864
13.794790,5.734694,-0.025369
13.794790,5.833333,-0.029486
13.794790,5.957447,0.333594
13.794790,5.936170,0.233594
13.794790,5.936170,0.133594
13.794790,5.914894,0.033594
13.794790,5.851064,-0.066406
13.794790,5.978261,0.876031
13.794790,5.934783,0.776031
13.794790,5.913043,0.676031
13.794790,5.891304,0.576031
13.794790,5.869565,0.476031
13.794790,5.847826,0.376031
13.794790,5.826087,0.276031
13.794790,5.826087,0.176031
13.794790,5.804348,0.076031
13.794790,5.760870,-0.023969
13.794790,5.911111,0.084331
13.794790,5.844444,-0.015669
13.794790,5.977273,0.095946
13.794790,5.954545,-0.004054
13.794790,6.093023,0.408643
13.794790,6.069767,0.308643
13.794790,6.046512,0.208643
13.794790,6.046512,0.108643
13.794790,6.023256,0.008643
13.794790,6.000000,-0.091357
13.794790,6.166667,0.013158
13.794790,6.119048,-0.086842
13.794790,6.268293,-0.075005
13.794790,6.450000,0.266548
13.794790,6.425000,0.166548
13.794790,6.400000,0.066548
13.794790,6.375000,-0.033452
13.794790,6.564103,0.000786
13.794790,6.538462,-0.099214
13.794790,6.736842,0.123822
13.794790,6.736842,0.023822
13.794790,6.710526,-0.076178
13.794790,6.918919,0.195928
13.794790,6.918919,0.095928
13.794790,6.891892,-0.004072
13.794790,7.111111,-0.057623
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
13.794790,7.314286,1.122462
