ID;Genotype;Energy;Age;Parent;Prots;Mets;Dims;Iteration
1;111110100110011101101000001001101010010010000010010110111011;17.971794;0;0;;;;0
2;101100000110010100111100000001110001101100000101111110001110;9.963224;0;0;;;;0
3;010000110100001011111000011101001111001110110101000100110111;11.595827;0;0;;;;0
4;000111110000100001011001101000110100000001100110110000111100;11.790780;0;0;;;;0
5;101010100001011000110100010011011010000010110010000010000100;11.476028;0;0;;;;0
6;110111100111100010111111001110001010111111011011011000101111;12.676257;0;0;;;;0
7;000110010000101000010010111011001100011000110011010000010110;9.168856;0;0;;;;0
8;011000001000001001011001010101011000110001111101100110010011;1.029082;0;0;;;;0
9;110001001111011110000111001110111100011111010111001111011011;0.649226;0;0;;;;0
10;100001000000000011110110110001010000011011010111100000100101;7.310598;0;0;;;;0
2;101100000110010100111100000001110001101100000101111110001110;9.863224;1;0;{81: 1};;;1
3;010000110100001011111000011101001111001110110101000100110111;11.495827;1;0;{0: 1};;;1
4;000111110000100001011001101000110100000001100110110000111100;11.790780;1;0;;;;1
5;101010100001011000110100010011011010000010110010000010000100;11.376028;1;0;{8: 1};;;1
6;110111100111100010111111001110001010111111011011011000101111;12.376256;1;0;{0: 1, 851: 1, 1643: 1};;;1
7;000110010000101000010010111011001100011000110011010000010110;9.168856;1;0;;;;1
8;011000001000001001011001010101011000110001111101100110010011;0.929082;1;0;{1138: 1};;;1
9;110001001111011110000111001110111100011111010111001111011011;0.449226;1;0;{2490: 1};{01000101: 1};;1
10;100001000000000011110110110001010000011011010111100000100101;7.210598;1;0;{644: 1};;;1
12;111110100111011100101001001001101010010010010010010010111011;8.935897;0;1;{1528: 1};;;1
13;111100110110011101101000001001101110000010000010010100111011;8.935897;0;1;;;;1
2;101100000110010100111100000001110001101100000101111110001110;9.763224;2;0;{81: 1};{00001101: 1};;2
3;010000110100001011111000011101001111001110110101000100110111;11.395826;2;0;{0: 1};;;2
4;000111110000100001011001101000110100000001100110110000111100;11.790780;2;0;;;;2
5;101010100001011000110100010011011010000010110010000010000100;11.276028;2;0;{8: 1};;;2
6;110111100111100010111111001110001010111111011011011000101111;12.276256;2;0;{0: 1};;;2
7;000110010000101000010010111011001100011000110011010000010110;9.168856;2;0;;;;2
8;011000001000001001011001010101011000110001111101100110010011;0.829082;2;0;{1138: 1};;;2
9;110001001111011110000111001110111100011111010111001111011011;0.249226;2;0;{965: 1, 2490: 1};;;2
10;100001000000000011110110110001010000011011010111100000100101;7.110599;2;0;{644: 1};;;2
