Max,Average,Min
17.421104,7.313333,-0.246677
18.094305,6.539394,-0.031054
14.359876,6.503067,-0.314838
14.259875,6.422360,0.152749
14.159875,6.273292,-0.067479
14.059875,6.220126,0.005950
13.959874,6.081761,-0.394050
16.840107,6.050955,-0.289172
13.759873,6.051948,0.441011
13.659873,5.928571,0.241011
13.559873,5.811688,0.041011
13.459872,5.701299,-0.158989
13.359872,5.638158,0.020805
13.259871,5.480263,-0.179195
13.159871,5.422819,-0.013391
13.059871,5.310811,-0.000593
12.999232,5.210884,-0.039226
12.999232,5.130137,0.071326
12.999232,5.000000,-0.052853
12.999232,4.993007,-0.116237
12.999232,4.943262,0.020884
12.999232,4.815603,-0.179116
12.999232,4.721429,-0.179232
12.999232,4.666667,-0.259150
12.999232,4.566176,-0.092835
12.999232,4.455224,-0.152289
12.999232,4.375940,-0.148939
12.999232,4.335878,-0.230856
12.999232,4.343750,-0.250233
12.999232,4.336000,-0.070389
12.999232,4.241935,-0.289445
12.999232,4.213115,-0.087946
12.999232,4.158333,-0.370507
12.999232,4.198276,0.192916
12.999232,4.043103,-0.007084
12.999232,3.921739,-0.206253
12.999232,3.946429,-0.052747
12.999232,3.918182,-0.134140
12.999232,3.962617,-0.289445
12.999232,3.877358,-0.279598
12.999232,3.941176,-0.151176
12.999232,4.156250,-0.099672
12.999232,4.204301,-0.123723
12.999232,4.142857,-0.099668
12.999232,4.089888,-0.189810
12.999232,4.022727,-0.026869
12.999232,3.977011,0.244726
12.999232,3.896552,-0.009688
12.999232,3.895349,0.007064
12.999232,3.802326,-0.192936
12.999232,3.867470,-0.095398
12.999232,3.901235,-0.102970
12.999232,3.862500,0.154426
12.999232,3.725000,0.054426
12.999232,3.587500,-0.168792
12.999232,3.623377,-0.260954
12.999232,3.592105,-0.002107
12.999232,3.600000,-0.030145
12.999232,3.554054,-0.156848
12.999232,3.676056,-0.112232
12.999232,3.671429,-0.025106
12.999232,3.695652,-0.070974
12.999232,3.661765,-0.125349
12.999232,3.666667,-0.181161
12.999232,3.777778,-0.093054
12.999232,3.709677,-0.069199
12.999232,3.783333,0.390675
12.999232,3.750000,0.190675
12.999232,3.716667,-0.009325
12.999232,3.745763,-0.003213
12.999232,3.758621,0.193500
12.999232,3.724138,0.093500
12.999232,3.637931,0.093500
12.999232,3.534483,-0.006500
12.999232,3.526316,0.057153
12.999232,3.421053,-0.042847
12.999232,3.392857,-0.077328
12.999232,3.603774,-0.179962
12.999232,3.673077,0.127847
12.999232,3.634615,0.027847
12.999232,3.557692,-0.072153
12.999232,3.607843,-0.080358
12.999232,3.714286,-0.099672
12.999232,3.913043,-0.085574
12.999232,4.139535,-0.047287
12.999232,4.375000,-0.092410
12.999232,5.085714,-0.099668
12.999232,5.235294,-0.096682
12.999232,5.393939,0.320057
12.999232,5.333333,0.220057
12.999232,5.242424,0.120057
12.999232,5.242424,0.020057
12.999232,5.212121,-0.079943
12.999232,5.343750,0.921614
12.999232,5.281250,0.847481
12.999232,5.250000,0.747481
12.999232,5.218750,0.647481
12.999232,5.218750,0.547481
12.999232,5.187500,0.447481
12.999232,5.125000,0.347481
12.999232,5.031250,0.247481
12.999232,5.031250,0.147481
12.999232,5.031250,0.047481
12.999232,4.968750,-0.052519
12.999232,5.096774,0.505012
12.999232,5.064516,0.405012
12.999232,5.032258,0.305012
12.999232,5.032258,0.205012
12.999232,5.000000,0.105012
12.999232,4.935484,0.005012
12.999232,4.838710,-0.094988
12.999232,5.241379,0.185580
12.999232,5.241379,0.085580
12.999232,5.241379,-0.014420
12.999232,5.357143,0.312922
12.999232,5.321429,0.212922
12.999232,5.285714,0.112922
12.999232,5.285714,0.012922
12.999232,5.250000,-0.087078
12.999232,5.407407,0.082318
12.999232,5.370370,-0.017682
12.999232,5.615385,0.297637
12.999232,5.615385,0.197637
12.999232,5.615385,0.097637
12.999232,5.538462,-0.002363
12.999232,5.760000,0.805678
12.999232,5.720000,0.705678
12.999232,5.720000,0.605678
12.999232,5.720000,0.505678
12.999232,5.640000,0.405678
12.999232,5.640000,0.305678
12.999232,5.640000,0.205678
12.999232,5.640000,0.105678
12.999232,5.640000,0.005678
12.999232,5.600000,-0.094322
12.999232,5.833333,-0.026581
12.999232,6.086957,0.256740
12.999232,6.086957,0.156740
12.999232,6.086957,0.056740
